year notice was documented,notice_date,company,business_type,dislocation,classification
2016,12/21/2016,TANF Support Operations,Social  services assistance for the State through the facilitation of the TANF program.,Contract Loss/End,Plant Closing
2016,12/28/2016,TANF Support Operations,Office and R&D Center,Operations,Plant Layoff
2016,12/27/2016,TANF Support Operations,Retail store,Economic,Plant Closing
2016,12/27/2016,TANF Support Operations,Retail store and Automotive Center,Economic,Plant Closing
2016,12/27/2016,TANF Support Operations,Retail store and Automotive Center,Economic,Plant Closing
2016,12/27/2016,TANF Support Operations,Retail store and Automotive Center,Economic,Plant Closing
2016,12/28/2016,TANF Support Operations,Commercial laundry service provider,Other,Plant Closing
2016,12/21/2016,TANF Support Operations,Social services assistance for the State through the facilitation of the TANF program.,Contract Loss/End,Plant Closing
2016,12/13/2016,TANF Support Operations,Home goods retail,Economic,Plant Closing
2016,12/20/2016,TANF Support Operations,Fitness & Recreational Sports Centers,Economic,Plant Closing
2016,12/16/2016,TANF Support Operations,Locomotive turbo charger manufacturing plant,Economic,Plant Closing
2016,12/15/2016,TANF Support Operations,Real Estate Credit,Economic,Plant Closing
2016,12/12/2016,TANF Support Operations,Travel Dining Services,End of Lease,Plant Closing
2016,12/5/2016,TANF Support Operations,"Dining, hospitality, entertainment, and gaming",Acquisition/Sale,Plant Closing
2016,12/12/2016,TANF Support Operations,Manufacuturers of Quality Office Products,Economic,Plant Closing
2016,12/6/2016,TANF Support Operations,"Global, supply chain services and logistics company",Economic,Plant Closing
2016,12/6/2016,TANF Support Operations,Repair station and Line services for aircrafts,Economic,Plant Closing
2016,12/18/2015,TANF Support Operations,Power Plant,Economic,Plant Closing
2016,11/18/2015,TANF Support Operations,Power Plant,Economic,Plant Closing
2016,8/1/2016,TANF Support Operations,Dairy Plant,Economic,Plant Closing
2016,12/2/2016,TANF Support Operations,Flight operations.,Acquisition/Sale,Plant Closing
2016,12/6/2016,TANF Support Operations,Sewing operation manufacturing products for the military.,Economic,Plant Closing
2016,12/6/2016,TANF Support Operations,Provide ground travel products and services to the travel industry.,Operations,Plant Unit Closing
2016,12/6/2016,TANF Support Operations,Medical Laboratory,Relocation,Plant Layoff
2016,11/30/2016,TANF Support Operations,Restaurant business,Economic,Plant Closing
2016,11/29/2016,TANF Support Operations,Medical Laboratory,Relocation,Plant Layoff
2016,11/29/2016,TANF Support Operations,Spa Operations,Economic,Plant Closing
2016,11/30/2016,TANF Support Operations,Global marketer of tabletop and food preparation products.,Economic,Plant Closing
2016,11/28/2016,TANF Support Operations,Office and R&D Center,Operations,Plant Layoff
2016,11/23/2016,TANF Support Operations,Telecommunications provider,Merger,Plant Closing
2016,3/4/2016,TANF Support Operations,Nursing Home,Acquisition/Sale,Plant Closing
2016,3/4/2016,TANF Support Operations,Nursing Home,Acquisition/Sale,Plant Closing
2016,11/8/2016,TANF Support Operations,Sample Card Manufacturer,Economic,Plant Closing
2016,11/17/2016,TANF Support Operations,Media content and distribution company,Economic,Plant Closing
2016,11/14/2016,TANF Support Operations,Informational Technology Services,Restructuring,Plant Closing
2016,9/23/2016,TANF Support Operations,Pharmaceuticals (production),Economic,Plant Closing
2016,11/14/2016,TANF Support Operations,Hotel,Construction,Plant Closing
2016,11/16/2016,TANF Support Operations,Injection molding facility,Economic,Plant Closing
2016,8/1/2016,TANF Support Operations,Dairy Plant,Economic,Plant Closing
2016,11/4/2016,TANF Support Operations,Information Technology and Fincance,Operations,Plant Layoff
2016,11/9/2016,TANF Support Operations,Respiratory Products Manufacturer,Operations,Plant Closing
2016,4/15/2016,TANF Support Operations,Senior Residences,Restructuring,Plant Closing
2016,5/8/2015,TANF Support Operations,Laundry Service,Economic,Plant Closing
2016,10/31/2016,TANF Support Operations,Fragrance Manufacturing facility,Operations,Plant Closing
2016,11/1/2016,TANF Support Operations,Food services,Contract Loss/End,Possible Plant Closing
2016,10/25/2016,TANF Support Operations,Photographic equipment and supplies,Economic,Plant Layoff
2016,10/28/2016,TANF Support Operations,Bank,Acquisition/Sale,Plant Layoff
2016,8/31/2016,TANF Support Operations,Asset management and private equity firm,Merger,Plant Closing
2016,7/21/2016,TANF Support Operations,Media and direct marketing,Acquisition/Sale,Plant Closing
2016,10/24/2016,TANF Support Operations,Aerospace structural products manufacturer,Operations,Plant Closing
2016,7/12/2016,TANF Support Operations,Plastic packaging and protection products,Transfer,Plant Closing
2016,10/21/2016,TANF Support Operations,Drug Rehabilitation - Clinical Unit,Operations,Plant Unit Closing
2016,10/21/2016,TANF Support Operations,Investment Brokerage/Dealer,Economic,Plant Layoff
2016,10/14/2016,TANF Support Operations,Customer Service Call Center,Operations,Plant Unit Closing
2016,10/14/2016,TANF Support Operations,Tele s - Call Center,Operations,Plant Unit Closing
2016,10/7/2016,TANF Support Operations,Photographic equipment and Supplies,Economic,Plant Layoff
2016,10/7/2016,TANF Support Operations,Healthcare uniform and linen rental company and laundry and linen services,Economic,Plant Closing
2016,10/11/2016,TANF Support Operations,Stock Brocker & Dealer,Economic,Plant Closing
2016,10/10/2016,TANF Support Operations,Call Center,Contract Loss/End,Plant Layoff
2016,10/3/2016,TANF Support Operations,Photographic equipment and Supplies,Economic,Plant Layoff
2016,9/30/2016,TANF Support Operations,Charter Bus Service,Economic,Plant Layoff
2016,9/30/2016,TANF Support Operations,Restaurant,Economic,Plant Closing
2016,9/16/2016,TANF Support Operations,Department Store,Economic,Plant Closing
2016,9/16/2016,TANF Support Operations,Department Store,Economic,Plant Closing
2016,7/12/2016,TANF Support Operations,Plastic packaging and protection products,Transfer,Plant Closing
2016,9/30/2016,TANF Support Operations,Hospitality Company (StarLab office),Operations,Plant Layoff
2016,9/29/2016,TANF Support Operations,Social Advocacy Organization - Clinton Global  Initiative,Other,Plant Layoff
2016,9/29/2016,TANF Support Operations,Digital Marketing Services,Economic,Plant Closing
2016,9/29/2016,TANF Support Operations,Insurance Agency & Brokerage,Relocation,Plant Layoff
2016,6/17/2016,TANF Support Operations,Design and Manufacture of Process Equipment,Acquisition/Sale,Plant Closing
2016,8/4/2016,TANF Support Operations,Continuing Care Retirement Community,Acquisition/Sale,Plant Closing
2016,5/8/2015,TANF Support Operations,Laundry Service,Economic,Plant Closing
2016,8/15/2016,TANF Support Operations,Electronics Store,Economic,Plant Closing
2016,9/15/2016,TANF Support Operations,Tour Bus Service,Other,Plant Layoff
2016,9/22/2016,TANF Support Operations,Mattress Retailer (Finance & Accounting Unit),Restructuring,Plant Unit Closing
2016,9/16/2016,TANF Support Operations,On-line News & Media,Economic,Plant Layoff
2016,3/4/2016,TANF Support Operations,Food Concession,Contract Loss/End,Plant Closing
2016,9/15/2016,TANF Support Operations,Real Estate Credit,Economic,Plant Layoff
2016,9/16/2016,TANF Support Operations,Behavioral Health Care Coordination DOHMH Program,Economic,Plant Layoff
2016,4/15/2016,TANF Support Operations,Senior Residences,Restructuring,Plant Closing
2016,2/22/2016,TANF Support Operations,Skilled nursing home care facility,Acquisition/Sale,Plant Closing
2016,9/8/2016,TANF Support Operations,Headquarters/Corporate offices,Acquisition/Sale,Plant Closing
2016,9/9/2016,TANF Support Operations,Semi-conductor Machinery Manufacturing,Relocation,Plant Closing
2016,8/31/2016,TANF Support Operations,Asset management and private equity firm,Merger,Plant Closing
2016,9/8/2016,TANF Support Operations,Mortgage servicing,Operations,Plant Layoff
2016,8/31/2016,TANF Support Operations,Corporate Headquarters - Health Spa,Economic,Plant Closing
2016,9/1/2016,TANF Support Operations,Lock Manufacturer,Operations,Plant Closing
2016,6/3/2016,TANF Support Operations,College,Economic,Plant Closing
2016,2/22/2016,TANF Support Operations,Skilled nursing home care facility,Acquisition/Sale,Plant Closing
2016,8/31/2016,TANF Support Operations,Ball and Roller Bearing Manufacturer,Economic,Plant Closing
2016,8/17/2016,TANF Support Operations,Retail Department Store,Economic,Plant Layoff
2016,11/18/2015,TANF Support Operations,Power Plant,Economic,Plant Closing
2016,12/18/2015,TANF Support Operations,Power Plant,Economic,Plant Closing
2016,8/25/2016,TANF Support Operations,Pharmaceuticals Manufacturer,Economic,Plant Closing
2016,8/26/2016,TANF Support Operations,Drug Rehabilitation - Clinical Unit,Operations,Plant Unit Closing
2016,8/19/2016,TANF Support Operations,Investment Brokerage/Dealer,Economic,Plant Layoff
2016,8/22/2016,TANF Support Operations,Restaurant,Economic,Plant Closing
2016,8/16/2016,TANF Support Operations,"Manufacturer of shelf-stable and frozen beverage products, and cocktail mixes.",Restructuring,Plant Closing
2016,8/18/2016,TANF Support Operations,Financial Services,Economic,Plant Layoff
2016,8/1/2016,TANF Support Operations,Photographic equipment and Supplies,Economic,Plant Layoff
2016,8/11/2016,TANF Support Operations,Financial Services,Economic,Plant Layoff
2016,8/4/2016,TANF Support Operations,Continuing Care Retirement Community,Acquisition/Sale,Plant Closing
2016,8/3/2016,TANF Support Operations,Automotive Parts & Accessories Store,Economic,Plant Closing
2016,6/3/2016,TANF Support Operations,College,Economic,Plant Closing
2016,8/5/2016,TANF Support Operations,Security Services,Contract Loss/End,Plant Layoff
2016,4/20/2016,TANF Support Operations,Surgical & Medical Instrument Manufacturing,Transfer,Closing
2016,7/21/2016,TANF Support Operations,Medical Laboratory,Relocation,Plant Layoff
2016,8/4/2016,TANF Support Operations,Financial Services,Economic,Plant Layoff
2016,8/1/2016,TANF Support Operations,"Global mission agency of 
 
The United Methodist Church",Relocation,Plant Closing
2016,8/1/2016,TANF Support Operations,Dairy Plant,Economic,Plant Closing
2016,7/25/2016,TANF Support Operations,Information Technology,Operations,Plant Layoff
2016,7/29/2016,TANF Support Operations,Mortgage servicing,Operations,Plant Layoff
2016,7/21/2016,TANF Support Operations,Medical Laboratory,Relocation,Plant Layoff
2016,7/25/2016,TANF Support Operations,Sodium/Lithium Manufacturing facility,Economic,Plant Closing
2016,7/25/2016,TANF Support Operations,Dialysis clinic,Economic,Plant Closing
2016,7/29/2016,TANF Support Operations,Financial Services,Economic,Plant Layoff
2016,4/15/2016,TANF Support Operations,Senior Residences,Restructuring,Plant Closing
2016,7/25/2016,TANF Support Operations,Universal Survey Call Center,Acquisition/Sale,Plant Closing
2016,7/20/2016,TANF Support Operations,Circus Ring Show,Economic,Plant Layoff
2016,7/19/2016,TANF Support Operations,Photographic equipment and Supplies,Economic,Plant Layoff
2016,2/22/2016,TANF Support Operations,Skilled nursing home care facility,Acquisition/Sale,Plant Closing
2016,4/18/2016,TANF Support Operations,Department Stores,Economic,Plant Closing
2016,7/21/2016,TANF Support Operations,Media and direct marketing,Economic,Plant Closing
2016,6/3/2016,TANF Support Operations,College,Economic,Plant Closing
2016,7/19/2016,TANF Support Operations,Home Care services,Economic,Plant Closing
2016,7/15/2016,TANF Support Operations,Financial Services,Economic,Plant Layoff
2016,4/20/2016,TANF Support Operations,Surgical & Medical Instrument Manufacturing,Transfer,Closing
2016,6/23/2016,TANF Support Operations,Sporting Goods Store,Economic,Plant Closing
2016,7/12/2016,TANF Support Operations,Plastic packaging and protection products,Transfer,Plant Closing
2016,7/8/2016,TANF Support Operations,Audio and Video Equipment Manufacturing,Relocation,Plant Closing
2016,7/8/2016,TANF Support Operations,Investment Brokerage/Dealer,Economic,Plant Layoff
2016,7/6/2016,TANF Support Operations,Financial Services,Economic,Plant Closing
2016,7/4/2016,TANF Support Operations,Bakery,Economic,Plant Closing
2016,6/16/2016,TANF Support Operations,Gourmet Grocery Store,Economic,Plant Closing
2016,6/27/2016,TANF Support Operations,Transportation,Acquisition/Sale,Plant Closing
2016,6/27/2016,TANF Support Operations,Hotel,Economic,Plant Closing
2016,4/23/2015,TANF Support Operations,Developing and Manufacturing - Clean Energy Systems,Economic,Plant Layoff
2016,6/3/2016,TANF Support Operations,College,Economic,Plant Closing
2016,6/,TANF Support Operations,Pharmaceutical Products,Restructuring,Plant Layoff
2016,6/30/2016,TANF Support Operations,OPWDD Residences and Day Habilitation Programs,Transfer,Plant Closing
2016,6/28/2016,TANF Support Operations,Pharmaceutical Products,Restructuring,Plant Layoff
2016,12/18/2015,TANF Support Operations,Power Plant,Economic,Plant Closing
2016,6/29/2016,TANF Support Operations,Computer Store,Economic,Plant Closing
2016,6/29/2016,TANF Support Operations,Pharmaceutical Manufacturing,Economic,Plant Closing
2016,6/29/2016,TANF Support Operations,Insurance,Economic,Plant Layoff
2016,6/24/2016,TANF Support Operations,Photographic equipment and supplies,Economic,Plant Layoff
2016,6/30/2016,TANF Support Operations,Information provider to real estate agencies,Relocation,Plant Closing
2016,4/27/2015,TANF Support Operations,Instrument Manufacturing Operations,Operations,Plant Unit Closing
2016,6/30/2016,TANF Support Operations,Casa Betsaida Homeless Program,Economic,Plant Closing
2016,6/22/2016,TANF Support Operations,Life Insurance,Operations,Plant Layoff
2016,6/22/2016,TANF Support Operations,Life Insurance,Operations,Plant Layoff
2016,6/22/2016,TANF Support Operations,Life Insurance,Relocation,Plant Layoff
2016,6/22/2016,TANF Support Operations,Life Insurance,Relocation,Plant Layoff
2016,6/15/2016,TANF Support Operations,Retail,Economic,Plant Closing
2016,6/23/2016,TANF Support Operations,Sporting Goods Store,Economic,Plant Closing
2016,6/16/2016,TANF Support Operations,Gourmet Grocery Store,Economic,Plant Closing
2016,6/21/2016,TANF Support Operations,Investment Brokerage/Dealer,Economic,Plant Layoff
2016,6/17/2016,TANF Support Operations,Food Services,Contract Loss/End,Plant Closing
2016,6/16/2016,TANF Support Operations,Photographic equipment and supplies,Economic,Plant Layoff
2016,6/3/2016,TANF Support Operations,College,Economic,Plant Closing
2016,6/17/2016,TANF Support Operations,Design and Manufacture of Process Equipment,Acquisition/Sale,Plant Closing
