year notice was documented,notice_date,company,business_type,dislocation
2017,8/9/2017,Jay Strongwater,Manufacturing facility of hand decorated cast pewter giftware,Acquisition/Sale
2017,8/7/2017,"TPS Parking Management, LLC, dba The Parking Spot",Parking Facility,Acquisition/Sale
2017,7/5/2017,Inter-Lakes Health,Provides general medical and surgical care,Acquisition/Sale
2017,6/28/2017,"Allied Health Services, Inc.",Home Health Care Services,Acquisition/Sale
2017,5/5/2017,"Rides Unlimited of New York, Inc. dba Rides Unlimited of Nassau/Suffolk",Not for profit for-hire passenger transportation company,Acquisition/Sale
2017,5/4/2017,Webster Hall Entertainment Corp.,Nightclub and concert venue,Acquisition/Sale
2017,4/21/2017,"Auburn Armature, Inc.",Distributor of electrical equipment,Acquisition/Sale
2017,4/21/2017,Hurley Ridge Market,Supermarket,Acquisition/Sale
2017,4/17/2017,Elite Daily Inc.,American online news platform geared for the millennial reader.,Acquisition/Sale
2017,3/24/2017,The Research Foundation for The State University of New York,Research and Development,Acquisition/Sale
2017,3/4/2016,Beth Abraham Nursing Home,Nursing Home,Acquisition/Sale
2017,3/13/2017,"Bostwick Laboratories, Inc.",A full-service laboratory specializing in uropathology.,Acquisition/Sale
2017,10/28/2016,Suffolk County National Bank (merger of SCNB into People's United Bank N.A.),Bank,Acquisition/Sale
2017,10/28/2016,Suffolk County National Bank (merger of SCNB into People's United Bank N.A.),Bank,Acquisition/Sale
2017,1/11/2017,"Samuel Aaron, Inc.",International jewelry manufacturer and whole r,Acquisition/Sale
2016,12/5/2016,TANF Support Operations,"Dining, hospitality, entertainment, and gaming",Acquisition/Sale
2016,12/2/2016,TANF Support Operations,Flight operations.,Acquisition/Sale
2016,3/4/2016,TANF Support Operations,Nursing Home,Acquisition/Sale
2016,3/4/2016,TANF Support Operations,Nursing Home,Acquisition/Sale
2016,10/28/2016,TANF Support Operations,Bank,Acquisition/Sale
2016,7/21/2016,TANF Support Operations,Media and direct marketing,Acquisition/Sale
2016,6/17/2016,TANF Support Operations,Design and Manufacture of Process Equipment,Acquisition/Sale
2016,8/4/2016,TANF Support Operations,Continuing Care Retirement Community,Acquisition/Sale
2016,2/22/2016,TANF Support Operations,Skilled nursing home care facility,Acquisition/Sale
2016,9/8/2016,TANF Support Operations,Headquarters/Corporate offices,Acquisition/Sale
2016,2/22/2016,TANF Support Operations,Skilled nursing home care facility,Acquisition/Sale
2016,8/4/2016,TANF Support Operations,Continuing Care Retirement Community,Acquisition/Sale
2016,7/25/2016,TANF Support Operations,Universal Survey Call Center,Acquisition/Sale
2016,2/22/2016,TANF Support Operations,Skilled nursing home care facility,Acquisition/Sale
2016,6/27/2016,TANF Support Operations,Transportation,Acquisition/Sale
2016,6/17/2016,TANF Support Operations,Design and Manufacture of Process Equipment,Acquisition/Sale
2016,2/22/2016,TANF Support Operations,Skilled nursing home care facility,Acquisition/Sale
2016,2/22/2016,TANF Support Operations,Skilled nursing home care facility,Acquisition/Sale
2016,5/13/2016,TANF Support Operations,Entertainment -  produces electronic music concerts,Acquisition/Sale
2016,4/12/2016,TANF Support Operations,Entertainment,Acquisition/Sale
2016,2/12/2016,TANF Support Operations,Packaging,Acquisition/Sale
2016,4/13/2016,TANF Support Operations,Rehabilitation Center,Acquisition/Sale
2016,4/12/2016,TANF Support Operations,Entertainment,Acquisition/Sale
2016,3/4/2016,TANF Support Operations,Nursing Home,Acquisition/Sale
2016,3/4/2016,TANF Support Operations,Nursing Home,Acquisition/Sale
2016,2/22/2016,TANF Support Operations,Skilled nursing home care facility,Acquisition/Sale
2016,2/22/2016,TANF Support Operations,Skilled nursing home care facility,Acquisition/Sale
2016,2/12/2016,TANF Support Operations,Packaging,Acquisition/Sale
2016,2/2/2016,TANF Support Operations,Full service supplier of food packaging,Acquisition/Sale
2015,2/6/2015,Eastman Kodak Company (Kodak  Office),Home Support Services,Acquisition/Sale
2015,1/6/2015,Eastman Kodak Company (Kodak  Office),Health Center - Long Term Care Unit,Acquisition/Sale
2015,8/11/2015,Eastman Kodak Company (Kodak  Office),Commercial Laundry Services,Acquisition/Sale
2015,2/6/2015,Eastman Kodak Company (Kodak  Office),Home Support Services,Acquisition/Sale
2015,2/6/2015,Eastman Kodak Company (Kodak  Office),Home Support Services,Acquisition/Sale
2015,3/17/2015,Eastman Kodak Company (Kodak  Office),Investment advisors,Acquisition/Sale
2015,8/11/2015,Eastman Kodak Company (Kodak  Office),Commercial Laundry Services,Acquisition/Sale
2015,1/6/2015,Eastman Kodak Company (Kodak  Office),Health Center - Long Term Care Unit,Acquisition/Sale
2015,3/17/2015,Eastman Kodak Company (Kodak  Office),Investment advisors,Acquisition/Sale
2015,3/31/2015,Eastman Kodak Company (Kodak  Office),Skilled Nursing Facility,Acquisition/Sale
2015,2/6/2015,Eastman Kodak Company (Kodak  Office),Home Support Services,Acquisition/Sale
2015,7/21/2015,Eastman Kodak Company (Kodak  Office),Food Products,Acquisition/Sale
2015,7/21/2015,Eastman Kodak Company (Kodak  Office),Food Products,Acquisition/Sale
2015,3/31/2015,Eastman Kodak Company (Kodak  Office),Skilled Nursing Facility,Acquisition/Sale
2015,6/9/2015,Eastman Kodak Company (Kodak  Office),Dialysis Services,Acquisition/Sale
2015,3/17/2015,Eastman Kodak Company (Kodak  Office),Investment advisors,Acquisition/Sale
2015,1/6/2015,Eastman Kodak Company (Kodak  Office),Health Center - Long Term Care Unit,Acquisition/Sale
2015,6/9/2015,Eastman Kodak Company (Kodak  Office),Dialysis Services,Acquisition/Sale
2015,5/7/2015,Eastman Kodak Company (Kodak  Office),Railroad,Acquisition/Sale
2015,2/6/2015,Eastman Kodak Company (Kodak  Office),Home Support Services,Acquisition/Sale
2015,2/27/2015,Eastman Kodak Company (Kodak  Office),Hotel,Acquisition/Sale
2015,2/27/2015,Eastman Kodak Company (Kodak  Office),Hotel,Acquisition/Sale
2015,3/31/2015,Eastman Kodak Company (Kodak  Office),Skilled Nursing Facility,Acquisition/Sale
2015,1/6/2015,Eastman Kodak Company (Kodak  Office),Health Center - Long Term Care Unit,Acquisition/Sale
2015,3/31/2015,Eastman Kodak Company (Kodak  Office),Institutional pharmacy that provides medications to residents of skilled nursing facilities.,Acquisition/Sale
2015,3/18/2015,Eastman Kodak Company (Kodak  Office),Home Health Care Services,Acquisition/Sale
2015,3/17/2015,Eastman Kodak Company (Kodak  Office),Investment advisors,Acquisition/Sale
2015,3/17/2015,Eastman Kodak Company (Kodak  Office),Investment advisors,Acquisition/Sale
2015,2/27/2015,Eastman Kodak Company (Kodak  Office),Hotel,Acquisition/Sale
2015,3/13/2015,Eastman Kodak Company (Kodak  Office),Warehouse,Acquisition/Sale
2015,10/6/2014,Eastman Kodak Company (Kodak  Office),Substance Abuse Treatment,Acquisition/Sale
2015,2/27/2015,Eastman Kodak Company (Kodak  Office),Hotel,Acquisition/Sale
2015,2/19/2015,Eastman Kodak Company (Kodak  Office),Financial,Acquisition/Sale
2015,7/28/2014,Eastman Kodak Company (Kodak  Office),Residential  facility,Acquisition/Sale
2015,2/6/2015,Eastman Kodak Company (Kodak  Office),Home Support Services,Acquisition/Sale
2015,2/3/2015,Eastman Kodak Company (Kodak  Office),Computer Systems Analysis and Design,Acquisition/Sale
2015,10/6/2014,Eastman Kodak Company (Kodak  Office),Substance Abuse Treatment,Acquisition/Sale
2020,2/12/2020,Steuben Trust Company,Bank,Acquisition/Sale
2020,2/12/2020,Steuben Trust Company,Bank,Acquisition/Sale
2020,1/14/2020,Pepper Hamilton LLP,Law Firm,Acquisition/Sale
2019,8/23/2019,La Loggia LLC d/b/a Tarry Lodge Port Chester,Restaurant,Construction
2019,8/27/2019,"MarineMax Services, Inc.",Recreational boat and yacht dealer,Construction
2019,4/2/2019,"Irving Plaza (venue operated by Live Nation Worldwide, Inc.)",Ballroom-style music venue,Construction
2019,3/14/2019,"Art Food, LLC dba The Cafes at MoMa, an affiliate of Union Square Hospitality Group, LLC (at the Museum of Modern Art) (Terrace 5)",Restaurants,Construction
2019,3/14/2019,"Art Food, LLC dba The Cafes  at MoMa, an affiliate of Union Square Hospitality Group, LLC (at the Museum of  Modern Art) (Terrace 5)",Restaurants,Construction
2018,7/13/2018,Canandaigua Hotel Corporation dba the Inn on the Lake (IOTL),Waterfront Resort and Conference Center,Construction
2018,1/17/2018,Barrier Free Living,Transitional Housing program,Construction
2018,10/11/2017,The New York LaGuardia Airport Marriott,Hotel,Construction
2018,1/17/2018,Barrier Free Living,Transitional Housing program,Construction
2017,10/11/2017,The New York LaGuardia Airport Marriott,Hotel,Construction
2017,3/30/2017,NH Jolly MadisonTowers Hotel,Hotel,Construction
2017,8/4/2017,"River Club of New York, Inc.",Private social sports club.,Construction
2017,5/23/2017,Chelsea Hospitality Partners LLC d/b/a Avenue,Lounge,Construction
2017,4/15/2016,Esplanade of White Plains Venture Partnership,Senior Residences,Construction
2017,3/30/2017,NH Jolly MadisonTowers Hotel,Hotel,Construction
2017,4/15/2016,Esplanade of White Plains Venture Partnership,Senior Residences,Construction
2016,11/14/2016,TANF Support Operations,Hotel,Construction
2016,3/8/2016,TANF Support Operations,Bakery,Construction
2015,8/18/2015,Eastman Kodak Company (Kodak  Office),Monica House is a Community Residence/Single Room Occupancy (CR/SRO) transitional living residence.,Construction
2015,8/18/2015,Eastman Kodak Company (Kodak  Office),Monica House is a Community Residence/Single Room Occupancy (CR/SRO) transitional living residence.,Construction
2015,8/14/2015,Eastman Kodak Company (Kodak  Office),Hotel,Construction
2015,7/24/2015,Eastman Kodak Company (Kodak  Office),Food Services,Construction
2015,4/13/2015,Eastman Kodak Company (Kodak  Office),Sports arena,Construction
2015,1/5/2015,Eastman Kodak Company (Kodak  Office),Restaurant,Construction
2019,10/7/2019,"Somos Healthcare Providers, Inc.",Community care and advocate community provider,Contract Loss/End
2019,12/12/2019,Evolent Health LLC,a company providing an integrated value-based care platform for the nations leading providers and payers,Contract Loss/End
2019,11/27/2019,"Distinctive Maintenance Partners, LLC",Cleaning Services,Contract Loss/End
2019,11/25/2019,"PrimeFlight Aviation Services, Inc.","Provides airline, aircraft, airport services",Contract Loss/End
2019,10/31/2019,IPRO Headquarters,Health Care Service Contracts,Contract Loss/End
2019,10/28/2019,"Bethany Nursing Home & HRF, Inc. and Bethany Retirement Home, Inc.",Food service operations unit,Contract Loss/End
2019,10/9/2019,"HMS Ferries, Inc. (HMS Global Maritime LLC)",Full-service marine management company,Contract Loss/End
2019,10/17/2019,Premier Paratransit LLC,Full service transportation business geared towards the physically challenged.,Contract Loss/End
2019,9/20/2019,"PRWT Services, Inc.",Data Processing Services,Contract Loss/End
2019,10/7/2019,"Somos Healthcare Providers, Inc.",Community care and advocate community provider,Contract Loss/End
2019,8/29/2019,IPT LLC dba Paylock,Provides unique parking management products and services,Contract Loss/End
2019,8/16/2019,"RNN News, LLC (Verizon Corporate Services Group Inc.'s FIOS1 News network)",Provides news programming and support services for Verizon Corporate Services Group Inc.’s FiOSl News network,Contract Loss/End
