year notice was documented,notice_date,company,business_type,dislocation,classification
2018,8/9/2018,"Warner Media, LLC (formerly Time Warner Inc.)",Media services,Merger,Plant Layoff
2018,10/18/2018,"NSC Whole  Holdings, LLC dba National Whole  Liquidators",Merchandise Liquidators business,Economic,Possible Plant Closing
2018,10/17/2018,"Ingenious Designs LLC, a wholly-owned subsidiary of the Home Shopping Network",Warehouse/distribution center and office functions for Joy Mangano and other household products,Economic,Plant Closing
2018,4/25/2018,Umami Burger at the Hudson Hotel,Food services,Economic,Plant Closing
2018,10/15/2018,Kmart Corporation Store #04741,Food services,Economic,Plant Closing
2018,10/15/2018,Kmart Corporation Store #09392,Food services,Economic,Plant Closing
2018,10/15/2018,Kmart Corporation Store #09415,Food services,Economic,Plant Closing
2018,10/15/2018,Kmart Corporation Store #04123,Food services,Economic,Plant Closing
2018,10/15/2018,Kmart Corporation #03600,Food services,Economic,Plant Closing
2018,10/15/2018,"Sears, Roebuck and Co. Full Line Store #01004",Food services,Economic,Plant Closing
2018,10/15/2018,"Sears, Roebuck and Co. Full Line Store #02584",Food services,Economic,Plant Closing
2018,10/15/2018,"Sears, Roebuck and Co. Full Line Store #01944",Food services,Economic,Plant Closing
2018,10/15/2018,"Sears, Roebuck and Co. Full Line Store #01414",Food services,Economic,Plant Closing
2018,10/15/2018,"Sears, Roebuck and Co. Auto Center Store #06424",Retail Store,Economic,Plant Closing
2018,10/11/2018,"Greenbriar Associates, LLC dba Residence Inn by Marriott",Hotel,Contract Loss/End,Plant Closing
2018,9/21/2018,Royal Industries,Manufacturers of vinyl Advertising Specialties and Vinyl Packaging,Relocation,Plant Closing
2018,10/9/2018,"Ivy Enterprises, Inc.","Fingernails, Artificial Business",Relocation,Plant Closing
2018,10/10/2018,Lord and Taylor,Retail Store,Economic,Plant Closing
2018,10/15/2018,Tonawanda Coke Corporation,Operates as a merchant producer of high-quality foundry coke.,Economic,Plant Closing
2018,10/4/2018,MACOM Technology Solutions Inc.,"Developer and producer of radio, microwave, and millimeter wave semiconductor devices and components.",Economic,Plant Layoff
2018,10/10/2018,"Federated Payment Systems, LLC",Provider of credit card processing solutions,Acquisition/Sale,Plant Layoff
2018,10/9/2018,AllianceBernstein L.P.,Research-driven investment firm,Relocation,Plant Layoff
2018,6/28/2018,Hebeler Process Solutions LLC,Machinery Manufacturer,Decline in Business with Major Customer,Plant Layoff
2018,10/2/2018,"Bus Terminal Brewing Co., Inc. d/b/a Heartland Brewery",Restaurant,Economic,Plant Closing
2018,9/24/2018,P.W. Minor LLC,Footwear manufacturing and marketing,Economic,Plant Closing
2018,10/1/2018,"Pfizer, Inc.",Pharmaceuticals (production),Economic,Plant Closing
2018,10/1/2018,Frederic Fekkai Salon,Salon services,Economic,Plant Closing
2018,10/2/2018,"Murray Hill Medical Group, P.C.",Medical Services,Acquisition/Sale,Plant Closing
2018,10/2/2018,"Compass Group USA, Inc. d/b/a Chartwells (at Molloy College)",Food Services,Contract Loss/End,Plant Closing
2018,9/28/2018,"Jan  Services, 7th Ave, LLC",Whole   & Catering food services,Economic,Plant Closing
2018,10/1/2018,Affinity Health Plan (Medicare Product Line),Personal health care services,Other,Plant Layoff
2018,9/28/2018,Sterling National Bank,Financial Institution,Acquisition/Sale,Plant Closing
2018,9/17/2018,"CDS NFL Event, LLC",Graphic 3D and 2D Renderings,Economic,Plant Closing
2018,9/28/2018,The Research Foundation for the State University of New York,Education research,Contract Loss/End,Plant Layoff
2018,10/2/2018,"New Frontiers in TBI, Inc. dba Allwel",Personal care services,Economic,Plant Layoff
2018,9/28/2018,"Conduent Education Services, LLC",Educational Services,Restructuring,Plant Closing
2018,9/28/2018,Greater Hudson Bank,Banking services,Merger,Plant Layofff
2018,9/28/2018,"New Avon, LLC","Direct selling company in beauty, household, and personal care categories.",Relocation,Plant Closing
2018,4/27/2018,"Citizen Watch Company of America, Inc.","Credit/Accounts Receivable, Customer Relations, and Finance Operating Units",Economic,Plant Unit Closings
2018,12/29/2017,"Citizen Watch Company of America, Inc.",Warehousing/Distribution and after  s service,Economic,Plant Unit Closing
2018,9/25/2018,Kmart Corporation Full Line Store #03396,Retail Store,Economic,Plant Closing
2018,9/26/2018,Opry City Stage,Music venue and restaurant,Economic,Plant Closing
