year notice was documented,notice_date,company,business_type,dislocation,classification
2019,12/24/2019,"Timeless Décor, LLC (LCO Destiny DBA Timeless Frames)",A supplier of Picture Frames,Economic,Plant layoff
2019,10/16/2019,Barneys New York,Retail,Economic,Plant Closing
2019,9/18/2019,"General Parts Distribution, LLC d/b/a Carquest Auto Parts",Auto parts distribution,Economic,Plant Closing
2019,10/7/2019,"Somos Healthcare Providers, Inc.",Community care and advocate community provider,Contract Loss/End,Plant Closing
2019,12/20/2019,"Regeneron Healthcare Solutions, Inc., a wholly owned subsidiary of Regeneron Pharmaceuticals, Inc.",Biotechnology company,Operations,Plant Unit Closing
2019,12/12/2019,"Spacious Technologies LLC subsidiary of WeWork Companies, LLC",Commercial real estate company,Economic,Plant Closing
2019,11/22/2019,"WeWork Companies, Inc.",Commercial real estate company,Economic,Plant Layoff
2019,12/17/2019,Eastman Kodak Company (Eastman Business Park),Photographic equipment and Supplies,Economic,Plant Layoff
2019,12/10/2019,Eastman Kodak Company (Kodak Office),Photographic equipment and Supplies,Economic,Plant Layoff
2019,12/12/2019,"Eyeview, Inc.",Video marketing technology company,Economic,Plant Closing
2019,12/12/2019,Evolent Health LLC,a company providing an integrated value-based care platform for the nations leading providers and payers,Contract Loss/End,Plant Layoff
2019,12/10/2019,"HCL America, Inc.",Leading global IT services company,Economic,Plant Layoff
2019,11/19/2019,Eastman Kodak Company (Kodak Office),Photographic equipment and Supplies,Economic,Plant Layoff
2019,9/30/2019,"PB&J Group, LLC (dba Candle 79)",Organic restaurant,Economic,Plant Closing
2019,12/9/2019,GBG USA Inc. (Global Brands Group),Apparel store offices,Economic,Plant Layoff
2019,9/9/2019,Catholic Guardian Services,Human services non-profit organization with programs that help a large needy population in the New York metropolitan area.,Operations,Plant Closing
2019,12/11/2019,"Castelli America, LLC",Cheese manufacturer,Economic,Plant Closing
2019,12/6/2019,Gibsons Bar and Steakhouse (at the Polo Bar Ralph Lauren),Restaurant,Operations,Plant Closing
2019,12/5/2019,"Brooks-TLC Hospital System, Inc., TLC Health Network Campus",Acute Care Hospital,Economic,Plant Closing
2019,12/4/2019,"GL&V USA, Inc. (Part of Valmet)",Paper mill machinery manufacturer,Economic,Plant Closing
2019,11/27/2019,"HCL America, Inc.",Leading global IT services company,Economic,Plant Layoff
2019,11/22/2019,"WeWork Companies, Inc.",Commercial real estate company,Economic,Plant Layoff
2019,12/6/2019,"Crystal Run Health Plan, LLC (Phase 3)",Health Plans,Economic,Plant Closing
2019,12/5/2019,"Quality Frozen Foods, Inc.",Whole  grocer,Acquisition/Sale,Plant Closing
2019,12/3/2019,KIK Custom Products,Packaging and labeling services,Operations,Plant Layoff
2019,12/3/2019,Icahn Capital L.P.,Private equity,Relocation,Plant Closing
2019,12/2/2019,"Featherstone Foods, Inc.",Food products supplier,Acquisition/Sale,Plant Layoff
2019,11/27/2019,"Crosstex International, Inc. (Cantel) Phase 3",Dental equipment distribution and manufacturing,Restructuring,Plant Layoff
2019,10/22/2019,Ibase Operations Corp. 'dba' Qualitest,Independent software testing & Quality Assurance Service,Economic,Plant Closing
2019,9/23/2019,ACCO Brands USA LLC,Manufacturing operations,Operations,Plant Unit Closing
2019,12/3/2019,Oakwood Worldwide (US) LP,Providing temporary and long-term housing accommodations for relocated individuals and corporate officials.,Economic,Plant Closing
2019,11/27/2019,"Distinctive Maintenance Partners, LLC",Cleaning Services,Contract Loss/End,Plant Layoff
2019,11/25/2019,"PrimeFlight Aviation Services, Inc.","Provides airline, aircraft, airport services",Contract Loss/End,Plant Unit Closing
2019,11/22/2019,Jet.com Inc. (Walmart),Online grocery services,Economic,Plant Unit Closing
2019,11/22/2019,"WeWork Companies, Inc.",Commercial real estate company,Economic,Plant Layoff
2019,11/22/2019,Salisbury Hotel,Hotel,Economic,Plant Closing
2019,11/25/2019,Eastman Kodak Company (Kodak Office),Photographic equipment and Supplies,Economic,Plant Layoff
2019,7/13/2018,"Gourmet Management Corp. (TGI Fridays, KFC, Taco Bell, Pizza Hut, Haagen Dazs, Tim Hortons & Beer Cart Restaurants located at the Restaurant Complex on the Amtrak level of Penn Station)",Restaurants,End of Lease,Plant Closing
2019,11/14/2019,Home Box Office. Inc.,"American premium channel owned by the Home Box Office, Inc.",Merger,Plant Layoff
2019,11/15/2019,"Residential Treatment Center and Learning Center, Lutheran  Social Services Group, Inc. (Gustavus Adoiphus Child and Family Services, Inc.)","American premium channel owned by the Home Box Office, Inc.",Merger,Plant Layoff
2019,11/15/2019,"Residential Treatment Center (Gustavus Adolphus Child and  Family Services, Inc.)","American premium channel owned by the Home Box Office, Inc.",Merger,Plant Closing
2019,11/15/2019,"Learning Center (Gustavus Adolphus Child and Family Services,  Inc.)","American premium channel owned by the Home Box Office, Inc.",Merger,Plant Closing
2019,11/20/2019,Mountain States Rosen Company (Hunts Point Co Op Markets),"American premium channel owned by the Home Box Office, Inc.",Merger,Plant Closing
2019,10/22/2019,"Home Box Office, Inc.","American premium channel owned by the Home Box Office, Inc.",Merger,Plant Layoff
2019,11/12/2019,Eastman Kodak Company (Kodak Office),Photographic equipment and Supplies,Economic,Plant Layoff
2019,11/12/2019,Plated.,American ingredient-and-recipe meal kit service,Economic,Plant Closing
2019,7/31/2019,Cayuga Operating Company LLC (Heorot Power),Power station,Economic,Plant Closing
2019,11/8/2019,Transform SR LLC (Sears Unit #01984),Retail store,Economic,Plant Closing
2019,11/8/2019,Transform KM LLC (Kmart Unit #03862),Retail store,Economic,Plant Closing
2019,11/8/2019,Transform KM LLC (Sidney - Kmart Unit #07676),Retail store,Economic,Plant Closing
2019,11/1/2019,Forever 21 (Store #0614),Retail Store,Economic,Plant Closing
2019,10/16/2019,Barneys New York,Retail,Economic,Plant Closing
2019,10/30/2019,Damiano Corp of Jamaica d/b/a McDonald's,Restaurant,Economic,Plant Closing
2019,11/5/2019,"Marvell Semiconductor, Inc. (East Fishkill office)",Global semiconductor company,Economic,Plant Layoff
2019,11/7/2019,"LSC Communications US, LLC (Dover Publications office)",Commercial printing company,Economic,Plant Layoff
2019,10/29/2019,Eastman Kodak Company (Kodak Office),Photographic equipment and Supplies,Economic,Plant Layoff
2019,10/30/2019,Eastman Kodak Company (Kodak Office),Photographic equipment and Supplies,Economic,Plant Layoff
2019,10/31/2019,Eastman Kodak Company (Kodak Office),Photographic equipment and Supplies,Economic,Plant Layoff
2019,10/28/2019,L3Harris Technologies,A global defense technology leader,Economic,Plant Layoff
2019,10/31/2019,IPRO Headquarters,Health Care Service Contracts,Contract Loss/End,Plant Layoff
2019,10/31/2019,Lord + Taylor,Retail store,Economic,Plant Closing
2019,10/28/2019,"Bethany Nursing Home & HRF, Inc. and Bethany Retirement Home, Inc.",Food service operations unit,Contract Loss/End,Plant Unit Closing (ending its food service operations)
2019,9/3/2019,"Dexia Credit Local, New York Branch",Bank,Economic,Plant Layoff
2019,10/23/2019,Eastman Kodak Company (Kodak Office),Photographic equipment and Supplies,Economic,Plant Layoff
2019,10/29/2019,iPic Entertainment Inc.,Theater company,Economic,Plant Closing
2019,10/29/2019,Macquarie Holdings (U.S.A.) Inc.,Fincanial services (US Cash Equities Division),Economic,Plant Layoff
2019,10/29/2019,Cascades Tissue Group,Tissue manufacturing and conversion company,Economic,Plant Closing
2019,10/24/2019,"CONMED Corporation and Buffalo Filter, LLC",Medical equipment manufacturer,Economic,Plant Layoff
2019,10/9/2019,"HMS Ferries, Inc. (HMS Global Maritime LLC)",Full-service marine management company,Contract Loss/End,Plant Closing
2019,10/25/2019,Nordstrom (Rack Store at Skyview Center (Store 512),Retail Store,Economic,Plant Closing
2019,10/23/2019,"AmTrust Financial Services, Inc.",Insurance,Economic,Plant Layoff
2019,8/1/2019,"Home Box Office, Inc.",American premium channel,Merger,Plant Layoff
2019,8/1/2019,Home Box Office. Inc.,American premium channel,Merger,Plant Layoff
2019,10/16/2019,Barneys New York,Retail,Economic,Plant Closing
2019,10/9/2019,Del Frisco's Grille,Full service restaurant,Economic,Plant Closing
2019,10/17/2019,Premier Paratransit LLC,Full service transportation business geared towards the physically challenged.,Contract Loss/End,Plant Closing
2019,10/17/2019,Cartoon Network Enterprises,Media services,Economic,Plant Layoff
