year notice was documented,notice_date,company,business_type,dislocation,classification
2020,5/4/2020,"NRG Energy, Inc. (Green Mountain Energy NYC Office- s Agents)",Renewable Energy Provider,COVID-19,Temporary Plant Layoff
2020,5/4/2020,"CPS5, LLC (CPS Events at the Plaza)",Event Planners/Caterers,COVID-19,Temporary Plant Closing
2020,4/30/2020,"JAD Transportation, Inc. Twin America, LLC, R. W. Express, & Sightseeing Pass",Transporation Services,COVID-19,Temporary Plant Closing
2020,5/4/2020,"Hartz Hotel Services, Inc. (manager of the Roxy Hotel-Tribeca)",Hotel,COVID-19,Temporary Plant Closing
2020,1/24/2020,Fairway Group Holdings Corp.,Grocery Store,Economic,Possible Plant Layoff
2020,4/17/2020,"Eat'n Park Hospitality Group, Inc. (Parkhurst Dining Services)",Restaurant,COVID-19,Temporary Plant Layoff
2020,4/21/2020,GCT New York LP (Global Container Terminals USA),Marine Cargo Handling,Loss of Contract,Plant Layoff
2020,4/27/2020,"OS Restaurant Services, LLC (Bloomin Brands- Outback, Carrabba's, Bonefish Grill, Flemings, Aussie Grill)",Restaurant,COVID-19,Temporary Plant Layoff
2020,4/27/2020,"OS Restaurant Services, LLC (Bloomin Brands - Outback, Carrabba's, Bonefish Grill, Flemings, Aussie Grill)",Restaurant,COVID-19,Temporary Plant Closing
2020,4/27/2020,"OS Restaurant Services, LLC (Bloomin Brands - Outback, Carrabba's, Bonefish Grill, Flemings, Aussie Grill)",Restaurant,COVID-19,Temporary Plant Closing
2020,4/27/2020,"OS Restaurant Services, LLC (Bloomin Brands - Outback, Carrabba's, Bonefish Grill, Flemings, Aussie Grill)",Restaurant,COVID-19,Temporary Plant Closing
2020,4/27/2020,"OS Restaurant Services, LLC (Bloomin Brands - Outback, Carrabba's, Bonefish Grill, Flemings, Aussie Grill)",Restaurant,COVID-19,Temporary Plant Closing
2020,4/27/2020,"OS Restaurant Services, LLC (Bloomin Brands - Outback, Carrabba's, Bonefish Grill, Flemings, Aussie Grill)",Restaurant,COVID-19,Temporary Plant Closing
2020,4/27/2020,"OS Restaurant Services, LLC (Bloomin Brands - Outback, Carrabba's, Bonefish Grill, Flemings, Aussie Grill)",Restaurant,COVID-19,Temporary Plant Closing
2020,4/27/2020,"OS Restaurant Services, LLC (Bloomin Brands - Outback, Carrabba's, Bonefish Grill, Flemings, Aussie Grill)",Restaurant,COVID-19,Temporary Plant Closing
2020,5/1/2020,"LH Employment Services, LLC",Restaurant,COVID-19,Temporary Plant Layoff
2020,4/30/2020,"Truck-Lite Co, LLC",Producer of LED safety lighting,Economic,Plant Closing
2020,4/28/2020,Enterprise Holdings,Car Rental,COVID-19,Temporary Plant Layoff
2020,4/28/2020,Enterprise Holdings,Car Rental,COVID-19,Plant Layoff
2020,4/28/2020,Enterprise Holdings,Car Rental,COVID-19,Temporary Plant Layoff
2020,4/28/2020,Enterprise Holdings,Car Rental,COVID-19,Plant Layoff
2020,4/28/2020,TripAdvisor LLC and Smarter Travel Media,Travel Agency,COVID-19,Temporary Plant Layoff
2020,4/6/2020,"Planned Parenthood of Greater New York, Inc.",Family planning services,COVID-19,Plant Layoff
2020,4/29/2020,"Lyft, Inc.",Transportation,COVID-19,Temporary Plant Layoff
2020,4/28/2020,"RTW Retailwinds, Inc.",Retail,COVID-19,Plant Layoff
2020,4/27/2020,"USM, Inc.",Janitorial Services,COVID-19,Temporary Layoff
2020,4/6/2020,"Planned Parenthood of Greater New York, Inc.",Family planning services,COVID-19,Plant Layoff
2020,4/22/2020,"Crescent Hotels & Resorts, LLC dba Hyatt Herald Square New York",Hotel,COVID-19,Temporary Plant Layoff
2020,5/1/2020,"Gemological Institute of America, Inc.","Gem Research, Education, and Laboratory",COVID-19,Temporary Plant Layoff
2020,4/30/2020,Screen Actors Guild-American Federation of Television & Radio Artists (SAG-AFTRA),Labor Union,COVID-19,Temporary Plant Layoff
2020,4/6/2020,"Planned Parenthood of Greater New York, Inc.",Family planning services,COVID-19,Plant Layoff
2020,4/30/2020,"Housing Works, Inc.",Non-profit,COVID-19,Temporary Plant Closing and  Plant Closing
2020,4/6/2020,"Planned Parenthood of Greater New York, Inc.",Family planning services,COVID-19,Plant Layoff
2020,4/30/2020,"Ivy Rehab Network, Inc.",Medical Billing,COVID-19,Plant Closing
2020,4/23/2020,"Coral Graphic Services, Inc.",Commercial Printing,COVID-19,Temporary Plant Layoff
2020,4/29/2020,Enterprise Holdings,Car Rental,COVID-19,Temporary & Permanent Layoff
2020,4/15/2020,Leonard's Palazzo,Event Venue,COVID-19,Temporary Plant Closing
2020,4/29/2020,Enterprise Holdings,Car Rental,COVID-19,Temporary Plant Layoff
2020,4/24/2020,"Crescent Hotels & Resorts LLC, dba Marriott Syracuse Downtown",Hotel,COVID-19,Temporary Plant Layoff
2020,4/6/2020,"Planned Parenthood of Greater New York, Inc.",Family planning services,COVID-19,Plant Layoff
2020,4/29/2020,Buffalo Niagara Convention Center Management Corporation,Convention Center,COVID-19,Temporary Plant Layoff
2020,4/27/2020,Watertown Family YMCA,Social Organization,COVID-19,Temporary Plant Layoff
2020,4/29/2020,"Auburn YMCA - WEIU, Inc.",Social Organization,COVID-19,Temporary Plant Layoff
2020,4/28/2020,Brookset Bus Corp.,Transportation,COVID-19,Plant Closing
2020,4/28/2020,"Baumann & Sons Buses, Inc.",Transportation,COVID-19,Plant Closing
2020,4/28/2020,Acme Bus Corp.,Transportation,COVID-19,Plant Closing
2020,4/28/2020,"Bauman Bus Company, Inc.",Transportation,COVID-19,Plant Closing
2020,4/6/2020,"Planned Parenthood of Greater New York, Inc.",Family planning services,COVID-19,Plant Layoff
2020,4/29/2020,Regal Cinemas,Cinemas,COVID-19,Temporary Plant Closing
2020,3/19/2020,"Maison Kayser, LLC",Catering,COVID-19,Temporary Plant Layoff
2020,4/2/2020,Hudson's Bay Company,Retail,COVID-19,Temporary Plant Layoff
2020,4/15/2020,"MJ Mechanical Services, Inc.",Mechanical Contractor,COVID-19,Temporary Plant Layoff
2020,3/31/2020,The Century Association (the Club),Social Club,COVID-19,Temporary Plant Closing
2020,4/10/2020,"Tiger Retail Coast, LLC dba Flying Tiger Copenhagen",Retail,COVID-19,"Temporary Plant
Closing"
2020,4/17/2020,Wolf Eastside LLC dba Wolfgang's Steakhouse,Restaurant,COVID-19,Temporary Plant Layoff
2020,4/21/2020,Rising Ground,Human Services,Loss of Contract,Plant Layoff
2020,4/27/2020,"Spirit & Sanzone Distributors Co., Inc.",Wine Whole r,Acquisition/Sale,Plant Closing
2020,4/27/2020,"Other Spirit & Sanzone Distributors Co., Inc.",Wine Whole r,Acquisition/Sale,Plant Closing
2020,3/18/2020,"Birth of the Cool, LLC dba Eleven Madison Park",Restaurant,COVID-19,Temporary Plant Closing
2020,3/30/2020,RL Baxter Building Corp.,General Contractor,COVID-19,Temporary Plant Layoff
2020,3/31/2020,Araca Merchandise L.P.,Production Company,COVID-19,Temporary Plant Layoff
2020,4/24/2020,"Able Services, Inc.",Janitorial Engineering,COVID-19,Temporary Plant Layoff
2020,4/22/2020,Equinox Holdings Inc.,Fitness Club,COVID-19,Plant Layoff
2020,3/27/2020,"Nationwide Court Services, Inc.",Legal Services,COVID-19,Temporary Plant Layoff
2020,3/27/2020,"Nationwide Court Services, Inc.",Legal Services,COVID-19,Temporary Plant Layoff
2020,3/31/2020,"HH Brown Shoe Co., Inc.",Shoe Store,COVID-19,Temporary Plant Layoff
2020,3/31/2020,"HH Brown Shoe Co., Inc.",Shoe Store,COVID-19,Temporary Plant Layoff
2020,3/31/2020,"HH Brown Shoe Co., Inc.",Shoe Store,COVID-19,Temporary Plant Layoff
2020,4/3/2020,New York City & Vicinity District Council of Carpenters,Carpentry Organization,COVID-19,"Temporary Plant
Layoff"
2020,3/27/2020,"LeNoble Lumber Co., Inc.",Lumber and Building Material Distribution,COVID-19,Temporary Plant Closing
2020,4/23/2020,"John R. Mott, Inc.",Transportation Carrier,COVID-19,Plant Closing
2020,4/24/2020,"Kitopi Catering Services, LLC",Food preparation and delivery services,COVID-19,Plant Layoff
2020,4/20/2020,Gigino at Wagner Park LLC,Restaurant,COVID-19,Temporary Plant Closing
2020,4/20/2020,Gigino Inc. dba Gigino Trattoria,Restaurant,COVID-19,Temporary Plant Layoff
2020,3/29/2020,181 Thompson Street LLC,Restaurant,COVID-19,Temporary Plant Closing
2020,3/30/2020,Ark Museum LLC dba Robert,Restaurant,COVID-19,Temporary Plant Closing
2020,3/30/2020,Ark Bryant Park Southwest dba Fever Tree at the Porch,Outdoor Lounge/Restaurant,COVID-19,Temporary Plant Closing
2020,3/30/2020,Rio Restaurant Associates LP dba El Rio Grande,Restaurant,COVID-19,Temporary Plant Closing
2020,3/30/2020,Ark Bryant Park LLC dba Bryant Park Grill,Restaurant,COVID-19,Temporary Plant Closing
2020,3/30/2020,Clyde Ark LLC dba Clyde Frazier's Wine and Dine,Restaurant,COVID-19,Temporary Plant Closing
2020,4/21/2020,"Doughnut Plant Management, Inc.",Bakery,COVID-19,Temporary Plant Layoff
2020,4/22/2020,Visionworks (Capital Region),Eye Care,COVID-19,Temporary Plant Closing
2020,4/15/2020,Bruce Supply Corp.,"Plumbing, Heating, PVF, Waterworks, and Fire Protection Supplies",COVID-19,Temporary Plant Layoff
2020,4/15/2020,Bruce Supply Corp.,"Plumbing, Heating, PVF, Fire Protection, and Waterworks Supplies",COVID-19,Temporary Plant Layoff
2020,4/22/2020,Visionworks (North Country Region),Eye Care,COVID-19,Temporary Plant Closing
2020,4/22/2020,Visionworks (Southern Region),Eye Care,COVID-19,Temporary Plant Closing
2020,4/22/2020,Visionworks (New York City Region),Eye Care,COVID-19,Temporary Plant Closing
2020,4/22/2020,Visionworks (Mohawk Valley Region),Eye Care,COVID-19,Temporary Plant Closing
2020,4/22/2020,Visionworks (Finger Lakes Region),Eye Care,COVID-19,Temporary Plant Closing
2020,4/22/2020,Visionworks (Long Island Region),Eye Care,COVID-19,Temporary Plant Closing
2020,4/22/2020,Visionworks (Mid-Hudson Region),Eye Care,COVID-19,Temporary Plant Closing
2020,4/22/2020,Visionworks (Central Region),Eye Care,COVID-19,Temporary Plant Closing
2020,4/22/2020,Visionworks (Western Region),Eye Care,COVID-19,Temporary Plant Closing
2020,4/23/2020,"EFCO Products, Inc.",Manufacturing,COVID-19,Temporary Plant Layoff
2020,4/22/2020,YMCA of Greater New York (New York YMCA Camp),Day Camp,COVID-19,Temporary Plant Closing
2020,4/17/2020,"Shake Shack Enterprises, LLC dba Woodbury Commons Shake Shack",Restaurant,COVID-19,Temporary Plant Closing
2020,4/17/2020,"Shake Shack Enterprises, LLC dba Hudson Yards Shake Shack",Restaurant,COVID-19,Temporary Plant Closing
2020,4/20/2020,Joint Billion New York LLC,Airline Services,COVID-19,Temporary Plant Layoff
2020,4/21/2020,"NYY Steak, LLC",Restaurant,COVID-19,Temporary Plant Layoff
2020,4/21/2020,Hard Rock Café New York,Restaurant,COVID-19,Temporary Plant Layoff
2020,4/8/2020,Morris Heights Health Center,Healthcare Center,COVID-19,Temporary Plant Layoff
2020,4/21/2020,"Hard Rock Stadium Tenant, Inc., Hard Rock Café Yankees Stadium",Restaurant,COVID-19,Temporary Plant Layoff
2020,4/20/2020,"Audio Command Systems, Inc.",Home automation,COVID-19,Temporary Plant Layoff
2020,3/27/2020,Production Glue LLC & Department of Events LLC,Event Company,COVID-19,Temporary Plant Layoff
2020,4/21/2020,"Hard Rock Café International USA, Inc., Hard Rock Café Niagara Falls",Restaurant,COVID-19,Temporary Plant Layoff
2020,4/16/2020,Allied Aviation Services Inc.,Airline Services,COVID-19,Temporary Plant Layoff
2020,4/13/2020,Bed Bath & Beyond (Capital Region),Miscellaneous Home Furnishings Store,COVID-19,Temporary Plant Closing
2020,4/20/2020,Enterprise Holdings dba National and Alamo Rental Car,Rental Car,COVID-19,Temporary Plant Layoff
2020,4/8/2020,Westbury Manor Enterprises Inc.,Restaurant,COVID-19,Temporary Plant Closing
2020,3/27/2020,Fred Smith Plumbing & Heating,Plumbing and Heating,COVID-19,Temporary Plant Layoff
2020,4/23/2020,PQ New York Inc. dba Le Pain Quotidien,Restaurant,COVID-19,Temporary Plant Closing
2020,4/23/2020,PQ New York Inc. dba Le Pain Quotidien,Restaurants,COVID-19,Temporary Plant Closing
2020,4/23/2020,PQ New York Inc. dba Le Pain Quotidien (29 New York City sites),Restaurants,COVID-19,Temporary Plant Closing
2020,3/30/2020,"Peninsula Hotel New York, LLC",Hotel,COVID-19,Temporary Plant Layoff
2020,4/22/2020,"Deluxe Creative Services, Inc.",Visual Effects and Post Production Services,COVID-19,Temporary Plant Layoff
2020,4/23/2020,"Deluxe Creative Services, Inc.",Visual Effects and Post Production Services,COVID-19,Temporary Plant Layoff
2020,2/19/2020,CBRE,Commercial Real Estate Services,Economic,Plant Layoff
2020,4/9/2020,"Slocum Dickson Medical Group, PLLC",Medical Facility,COVID-19,Temporary Plant Layoff
2020,4/17/2020,One Kings Lane,Interior Design,COVID-19,Plant Layoff
2020,1/24/2020,Fairway Group Holdings Corp.,Grocery Store,Economic,Possible Plant Layoff
2020,3/27/2020,"F21 OpCo, LLC dba Forever 21",Retail Store,COVID-19,Temporary Plant Layoff
2020,4/22/2020,"Anesthesia Group of Albany, P.C.",Health Care,COVID-19,Reduction in Work Hours
2020,4/24/2020,Semiconductor Components Industries LLC dba ON Semiconductor,"Wafer fab, assembly, and test operations",Economic,Plant Closing
2020,4/14/2020,Imagine Early Learning Centers,School,COVID-19,Temporary Plant Layoff
2020,4/22/2020,"Quincy Compressor, LLC",Air Compressor Manufacturer,COVID-19,Temporary Plant Layoff
2020,4/21/2020,"Highgate Hotels, L.P. dba The Maxwell Hotel NYC",Hotel,COVID-19,Plant Closing
2020,4/3/2020,"Mid Rockland Imaging Partners, Inc.",Diagnostic Imaging Center,COVID-19,Plant Layoff
2020,4/3/2020,"Mid Rockland Imaging Partners, Inc.",Diagnostic Imaging Center,COVID-19,Plant Layoff
2020,4/22/2020,"Action Environmental Systems, LLC",Waste Services and Material Recycling,COVID-19,Temporary Plant Layoff/Plant Layoff
2020,4/3/2020,"Global Operations Security Services, Inc.",Security Services,COVID-19,Temporary Plant Layoff
2020,4/17/2020,"144 PQ 97th Street, Inc.",Restaurant,COVID-19,Temporary Plant Closing
2020,3/17/2020,Tacombi,Restaurant,COVID-19,Temporary Plant Closing
2020,4/17/2020,Wolf on Broadway LLC dba Wolfgang's Steakhouse,Restaurant,COVID-19,Temporary Plant Layoff
2020,4/17/2020,Wolf Westside LLC dba Wolfgang's Steakhouse,Restaurant,COVID-19,Temporary Plant Closing
2020,4/17/2020,The Surrey Hotel,Hotel,COVID-19,Temporary Plant Closing
2020,4/17/2020,Aludyne New York,Manufacturing,COVID-19,Temporary Plant Layoff
2020,3/25/2020,Funburger Corporation dba Curry-Ya,Restaurant,COVID-19,Temporary Plant Closing
2020,4/8/2020,Major Dough Soho 463 LLC,Restaurant,COVID-19,Temporary Plant Layoff
2020,4/17/2020,BC Hospitality Group LLC,Restaurant,COVID-19,Temporary Plant Layoff
2020,4/17/2020,E2 60 West 22nd Street LLC,Restaurant,COVID-19,Temporary Plant Layoff
2020,4/17/2020,E2 185 Bleecker LLC,Restaurant,COVID-19,Temporary Plant Layoff
2020,4/17/2020,BC 1385 Broadway LLC,Restaurant,COVID-19,Temporary Plant Layoff
2020,4/17/2020,CW SSS LLC,Restaurant,COVID-19,Temporary Plant Layoff
2020,4/17/2020,E2 Lafayette LLC,Restaurant,COVID-19,Temporary Plant Layoff
2020,4/17/2020,BC Union Square LLC,Restaurant,COVID-19,Temporary Plant Closing
2020,4/17/2020,BC 630 Lexington LLC,Restaurant,COVID-19,Temporary Plant Closing
