year notice was documented,notice_date,company,business_type,dislocation,classification
2015,10/9/2015,Eastman Kodak Company (Kodak  Office),Restaurant,Relocation,Temporary Plant Closing
2015,9/30/2015,Eastman Kodak Company (Kodak  Office),Specialty Shops,Economic,Plant Closing
2015,10/5/2015,Eastman Kodak Company (Kodak  Office),Restaurant,Operations,Plant Closing
2015,10/2/2015,Eastman Kodak Company (Kodak  Office),Insurance Provider,Economic,Plant Closing
2015,5/1/2015,Eastman Kodak Company (Kodak  Office),Vitamins and Food Supplements Manufacturer,Transfer,Plant Closing
2015,9/28/2015,Eastman Kodak Company (Kodak  Office),Health Care Provider,Contract Loss/End,Plant Closing
2015,10/2/2015,Eastman Kodak Company (Kodak  Office),Financial Institution,Economic,Plant Layoff
2015,10/1/2015,Eastman Kodak Company (Kodak  Office),Photographic equipment and supplies,Economic,Plant Layoff
2015,8/31/2015,Eastman Kodak Company (Kodak  Office),Dining and Housekeeping Services,Contract Loss/End,Plant Closing
2015,10/2/2015,Eastman Kodak Company (Kodak  Office),Financial,Economic,Plant Layoff
2015,10/2/2015,Eastman Kodak Company (Kodak  Office),Tourist attraction and Virtual Tour simulator,End of Lease,Plant Closing
2015,2/6/2015,Eastman Kodak Company (Kodak  Office),Home Support Services,Acquisition/Sale,Plant Closing
2015,10/1/2015,Eastman Kodak Company (Kodak  Office),Restaurant,Economic,Plant Closing
2015,9/30/2015,Eastman Kodak Company (Kodak  Office),Microstructured Optic components,Economic,Plant Closing
2015,9/30/2015,Eastman Kodak Company (Kodak  Office),Retail Food Establishment,Other,Plant Closing
2015,9/29/2015,Eastman Kodak Company (Kodak  Office),Education enrichment services,Economic,Plant Layoff
2015,9/29/2015,Eastman Kodak Company (Kodak  Office),Law Practice,Economic,Plant Layoff
2015,9/23/2015,Eastman Kodak Company (Kodak  Office),Photographic equipment and supplies,Economic,Plant Layoff
2015,7/1/2015,Eastman Kodak Company (Kodak  Office),Grocery Store,Economic,Plant Closing
2015,9/24/2015,Eastman Kodak Company (Kodak  Office),Engineering and manufacturing of pneumatic parts,Relocation,Plant Closing
2015,9/21/2015,Eastman Kodak Company (Kodak  Office),Life Insurance,Operations,Plant Layoff
2015,9/21/2015,Eastman Kodak Company (Kodak  Office),Life Insurance,Relocation,Plant Layoff
2015,9/18/2015,Eastman Kodak Company (Kodak  Office),Guard and Protection Services,Contract Loss/End,Plant Closing
2015,9/18/2015,Eastman Kodak Company (Kodak  Office),Guard and Protection Services,Contract Loss/End,Plant Closing
2015,9/21/2015,Eastman Kodak Company (Kodak  Office),Retail Toy Store,Economic,Plant Closing
2015,8/12/2015,Eastman Kodak Company (Kodak  Office),Grocery Store,Economic,Potential Plant Closing
2015,9/14/2015,Eastman Kodak Company (Kodak  Office),Pharmaceuticals,Economic,Plant Closing
2015,9/18/2015,Eastman Kodak Company (Kodak  Office),Air conditioning manufacturing,Economic,Plant Closing
2015,9/18/2015,Eastman Kodak Company (Kodak  Office),Guard and Protection Services,Contract Loss/End,Plant Closing
2015,9/14/2015,Eastman Kodak Company (Kodak  Office),"Cable Television, cellphone, internet, local and long distance phone services",Economic,Plant Layoff
2015,9/18/2015,Eastman Kodak Company (Kodak  Office),Banking,Economic,Plant Closing
2015,9/15/2015,Eastman Kodak Company (Kodak  Office),Pharmaceutical Manufacturing,Economic,Plant Closing
2015,8/25/2015,Eastman Kodak Company (Kodak  Office),Aircraft Engine & Engine Parts Mfg,Economic,Plant Closing
2015,3/17/2015,Eastman Kodak Company (Kodak  Office),Investment advisors,Acquisition/Sale,Plant Closing
2015,9/10/2015,Eastman Kodak Company (Kodak  Office),Pharmaceutical Products,Restructuring,Plant Layoff
2015,7/29/2015,Eastman Kodak Company (Kodak  Office),Alcohol & Substance Abuse Treatment & CASAC Training Centers,Economic,Plant Closing
2015,8/31/2015,Eastman Kodak Company (Kodak  Office),Healthcare,Contract Loss/End,Plant Closing
2015,8/31/2015,Eastman Kodak Company (Kodak  Office),Dining and Housekeeping Services,Contract Loss/End,Plant Closing
2015,9/1/2015,Eastman Kodak Company (Kodak  Office),Bank,Relocation,Plant Layoff
2015,10/2/2014,Eastman Kodak Company (Kodak  Office),Advertising tracking firm,Relocation,Plant Closing
2015,5/28/2015,Eastman Kodak Company (Kodak  Office),"Global network of manufacturing, import, export, trading and distribution companies",Relocation,Plant Closing
2015,6/22/2015,Eastman Kodak Company (Kodak  Office),Aircraft Maintenance,Economic,Plant Closing
2015,5/22/2015,Eastman Kodak Company (Kodak  Office),Crew and Maintenance facilities,Other,Plant Closing
2015,8/26/2015,Eastman Kodak Company (Kodak  Office),Airline,Economic,Plant Closing
2015,8/24/2015,Eastman Kodak Company (Kodak  Office),Passenger Handling,Contract Loss/End,Plant Layoff
2015,8/11/2015,Eastman Kodak Company (Kodak  Office),Commercial Laundry Services,Acquisition/Sale,Plant Closing
2015,7/8/2014,Eastman Kodak Company (Kodak  Office),Game Developer,Economic,Plant Closing
2015,3/25/2013,Eastman Kodak Company (Kodak  Office),Medical Center,Economic,Plant Closing
2015,8/17/2015,Eastman Kodak Company (Kodak  Office),Pharmaceuticals,Economic,Plant Closing
2015,8/26/2015,Eastman Kodak Company (Kodak  Office),Developing and Manufacturing - Clean Energy Systems,Economic,Plant Layoff
2015,8/21/2015,Eastman Kodak Company (Kodak  Office),Appliance Repair Division,Economic,Plant Closing
2015,8/20/2015,Eastman Kodak Company (Kodak  Office),Construction Company,Contract Loss/End,Plant Closing
2015,8/25/2015,Eastman Kodak Company (Kodak  Office),Financial Institution,Merger,Plant Layoff
2015,1/6/2015,Eastman Kodak Company (Kodak  Office),Health Center - Long Term Care Unit,Acquisition/Sale,Plant Unit Closing
2015,8/21/2015,Eastman Kodak Company (Kodak  Office),Food Service,Contract Loss/End,Plant Closing
2015,8/19/2015,Eastman Kodak Company (Kodak  Office),Bank,Economic,Plant Closing
2015,8/12/2015,Eastman Kodak Company (Kodak  Office),Grocery Store,Economic,Potential Plant Closing
2015,6/1/2015,Eastman Kodak Company (Kodak  Office),Spring Water Distributor,Economic,Plant Closing
2015,8/17/2015,Eastman Kodak Company (Kodak  Office),Emergency shelter for unaccompanied minor children crossing into the United States from Latin America,Contract Loss/End,Plant unit Closing
2015,8/20/2015,Eastman Kodak Company (Kodak  Office),Investment Firm,Relocation,Plant Closing
2015,8/18/2015,Eastman Kodak Company (Kodak  Office),Monica House is a Community Residence/Single Room Occupancy (CR/SRO) transitional living residence.,Construction,Plant Closing
2015,5/1/2015,Eastman Kodak Company (Kodak  Office),Vitamins and Food Supplements Manufacturer,Transfer,Plant Closing
2015,8/18/2015,Eastman Kodak Company (Kodak  Office),Drug Rehabilitation,Economic,Plant Closing
2015,4/1/2015,Eastman Kodak Company (Kodak  Office),Medical School,Operations,Plant Closing
2015,8/14/2015,Eastman Kodak Company (Kodak  Office),Hotel,Construction,Temporary Plant Closing
2015,8/11/2015,Eastman Kodak Company (Kodak  Office),Food Manufacturer and Distributor,Merger,Plant Closing
2015,8/10/2015,Eastman Kodak Company (Kodak  Office),Members only online shopping site,Economic,Plant Layoff
2015,4/29/2015,Eastman Kodak Company (Kodak  Office),Importers & Manufacturers of Specialty Foods,Relocation,Plant Closing
2015,3/17/2015,Eastman Kodak Company (Kodak  Office),Investment advisors,Acquisition/Sale,Plant Closing
2015,6/25/2015,Eastman Kodak Company (Kodak  Office),Hotel,Economic,Plant Closing
2015,4/30/2015,Eastman Kodak Company (Kodak  Office),Steel Bar Manufacturer,Economic,Plant Closing
2015,7/31/2015,Eastman Kodak Company (Kodak  Office),Home Care Services,Economic,Plant Layoff
2015,7/31/2015,Eastman Kodak Company (Kodak  Office),Pharmaceuticals,Economic,Plant Closing
2015,3/25/2013,Eastman Kodak Company (Kodak  Office),Medical Center,Economic,Plant Closing
2015,7/30/2015,Eastman Kodak Company (Kodak  Office),Photographic equipment and Supplies,Economic,Plant Layoff
2015,7/31/2015,Eastman Kodak Company (Kodak  Office),"Manage, maintain, operate and program the parks and  open spaces of Battery Park City",Economic,Plant Closing
2015,3/31/2015,Eastman Kodak Company (Kodak  Office),Skilled Nursing Facility,Acquisition/Sale,Plant Closing
2015,7/27/2015,Eastman Kodak Company (Kodak  Office),Adult Day Center,Economic,Plant Closing
2015,2/6/2015,Eastman Kodak Company (Kodak  Office),Home Support Services,Acquisition/Sale,Plant Closing
2015,7/29/2015,Eastman Kodak Company (Kodak  Office),Alcohol & Substance Abuse Treatment & CASAC Training Centers,Economic,Plant Closing
2015,7/22/2015,Eastman Kodak Company (Kodak  Office),Food Services,Contract Loss/End,Plant Closing
2015,7/24/2015,Eastman Kodak Company (Kodak  Office),Invention Company,Economic,Plant Layoff
2015,7/23/2015,Eastman Kodak Company (Kodak  Office),Electronics Company,Operations,Plant Layoff
2015,7/22/2015,Eastman Kodak Company (Kodak  Office),Newspaper Publication,Restructuring,Plant Layoff
2015,7/27/2015,Eastman Kodak Company (Kodak  Office),Restaurant,Economic,Plant Closing
2015,7/23/2015,Eastman Kodak Company (Kodak  Office),Financial Institution,Economic,Plant Layoff
2015,7/21/2015,Eastman Kodak Company (Kodak  Office),Food Products,Acquisition/Sale,Plant Layoff
2015,7/21/2015,Eastman Kodak Company (Kodak  Office),Transcontinenal Flights/p.s. service,Transfer,Plant Closing
2015,7/24/2015,Eastman Kodak Company (Kodak  Office),Food Services,Construction,Plant Closing
2015,7/21/2015,Eastman Kodak Company (Kodak  Office),Food Products,Acquisition/Sale,Plant Layoff
2015,7/7/2015,Eastman Kodak Company (Kodak  Office),Financial Institution,Economic,Plant Layoff
2015,7/18/2015,Eastman Kodak Company (Kodak  Office),Supermarket,Economic,Plant Closing
2015,7/21/2015,Eastman Kodak Company (Kodak  Office),Transcontinenal Flights/p.s. service,Transfer,Plant Closing
2015,7/16/2015,Eastman Kodak Company (Kodak  Office),Transportation Services,Contract Loss/End,Plant Closing
2015,7/9/2015,Eastman Kodak Company (Kodak  Office),Transportation Department,Economic,Plant Closing
2015,6/18/2015,Eastman Kodak Company (Kodak  Office),Building Service & Maintenance,Economic,Plant Closing
2015,7/8/2014,Eastman Kodak Company (Kodak  Office),Game Developer,Economic,Plant Closing
2015,7/10/2015,Eastman Kodak Company (Kodak  Office),Air conditioning manufacturing,Economic,Plant Closing
2015,4/27/2015,Eastman Kodak Company (Kodak  Office),Instrument Manufacturing Operations,Operations,Plant Unit Closing
2015,7/8/2015,Eastman Kodak Company (Kodak  Office),Community Service Program,Economic,Plant Closing
2015,3/31/2015,Eastman Kodak Company (Kodak  Office),Skilled Nursing Facility,Acquisition/Sale,Plant Closing
2015,4/1/2015,Eastman Kodak Company (Kodak  Office),Medical School,Operations,Plant Closing
2015,7/7/2015,Eastman Kodak Company (Kodak  Office),Photographic equipment and supplies,Economic,Plant Layoff
2015,7/7/2015,Eastman Kodak Company (Kodak  Office),Financial Institution,Economic,Plant Layoff
2015,7/2/2015,Eastman Kodak Company (Kodak  Office),Corporate Offices,Restructuring,Plant Closing
2015,7/1/2015,Eastman Kodak Company (Kodak  Office),Healthcare Services,Economic,Plant Closing
2015,7/7/2015,Eastman Kodak Company (Kodak  Office),Pharmaceuticals,Economic,Plant Closing
2015,7/7/2015,Eastman Kodak Company (Kodak  Office),Pharmaceutical Products,Restructuring,Plant Layoff
2015,6/9/2015,Eastman Kodak Company (Kodak  Office),Dialysis Services,Acquisition/Sale,Plant Closing
2015,6/30/2015,Eastman Kodak Company (Kodak  Office),Medical Supplies and Services,Relocation,Plant Closing
2015,6/25/2015,Eastman Kodak Company (Kodak  Office),Hotel,Economic,Plant Closing
2015,8/19/2013,Eastman Kodak Company (Kodak  Office),Manufacturer of steam specialty & fluid control devices,Economic,Plant Layoff
2015,2/27/2015,Eastman Kodak Company (Kodak  Office),Financial,Economic,Plant Closing
2015,6/25/2015,Eastman Kodak Company (Kodak  Office),Photographic equipment and supplies,Economic,Plant Layoff
2015,7/1/2015,Eastman Kodak Company (Kodak  Office),Grocery Store,Economic,Plant Closing
2015,3/17/2015,Eastman Kodak Company (Kodak  Office),Investment advisors,Acquisition/Sale,Plant Closing
2015,7/1/2015,Eastman Kodak Company (Kodak  Office),Healthcare Services,Economic,Plant Closing
2015,4/1/2015,Eastman Kodak Company (Kodak  Office),Medical School,Operations,Plant Closing
2015,5/12/2015,Eastman Kodak Company (Kodak  Office),Bank - Back office,Merger,Plant Layoff
2015,2/27/2015,Eastman Kodak Company (Kodak  Office),Financial,Economic,Plant Closing
2015,6/22/2015,Eastman Kodak Company (Kodak  Office),Aircraft Maintenance,Economic,Plant Layoff
2015,6/19/2015,Eastman Kodak Company (Kodak  Office),Grocery Store,Economic,Plant Closing
2015,6/23/2015,Eastman Kodak Company (Kodak  Office),Distribution Facility & Re  Stores,Economic,Plant Closing
2015,6/16/2015,Eastman Kodak Company (Kodak  Office),Equipment and Building Maintenance,Contract Loss/End,Plant Closing
2015,6/17/2015,Eastman Kodak Company (Kodak  Office),Food Services,Contract Loss/End,Plant Closing
2015,6/23/2015,Eastman Kodak Company (Kodak  Office),Pharmaceutical Manufacturing,Economic,Plant Closing
2015,6/23/2015,Eastman Kodak Company (Kodak  Office),Photographic equipment and supplies,Economic,Plant Layoff
2015,6/18/2015,Eastman Kodak Company (Kodak  Office),Building Service & Maintenance,Economic,Plant Closing
2015,6/18/2015,Eastman Kodak Company (Kodak  Office),Life Insurance,Relocation,Plant Layoff
2015,5/4/2015,Eastman Kodak Company (Kodak  Office),Air Traffic Control Optimum Training Solution,Contract Loss/End,Plant Closing
2015,1/6/2015,Eastman Kodak Company (Kodak  Office),Health Center - Long Term Care Unit,Acquisition/Sale,Plant Unit Closing
2015,6/19/2015,Eastman Kodak Company (Kodak  Office),Children and family services,Economic,Plant Layoff
2015,3/5/2015,Eastman Kodak Company (Kodak  Office),Private Collection Agency,Contract Loss/End,Plant Layoff
2015,6/12/2015,Eastman Kodak Company (Kodak  Office),Outsourced call center-desktop support,Economic,Plant Closing
2015,5/1/2015,Eastman Kodak Company (Kodak  Office),Headstart Program,Transfer,Plant Closing
2015,3/20/2014,Eastman Kodak Company (Kodak  Office),Manufacturing plant,Economic,Plant Closing
2015,6/3/2015,Eastman Kodak Company (Kodak  Office),Bank,Economic,Plant Unit Closing
2015,6/4/2015,Eastman Kodak Company (Kodak  Office),Photographic equipment and supplies,Economic,Plant Layoff
2015,6/9/2015,Eastman Kodak Company (Kodak  Office),Dialysis Services,Acquisition/Sale,Plant Closing
2015,6/7/2015,Eastman Kodak Company (Kodak  Office),Retail Store,Economic,Plant Closing
2015,2/2/2015,Eastman Kodak Company (Kodak  Office),Transportation,Economic,Plant Layoff
2015,6/2/2015,Eastman Kodak Company (Kodak  Office),Air conditioning manufacturing,Economic,Plant Closing
2015,6/1/2015,Eastman Kodak Company (Kodak  Office),Designs and manufactures electronic controls,Economic,Plant Closing
2015,6/4/2015,Eastman Kodak Company (Kodak  Office),Medical Technology,Economic,Plant Closing
2015,6/2/2015,Eastman Kodak Company (Kodak  Office),Law Firm,Economic,Plant Closing
2015,3/5/2015,Eastman Kodak Company (Kodak  Office),Private Collection Agency,Contract Loss/End,Plant Layoff
2015,6/1/2015,Eastman Kodak Company (Kodak  Office),Medical Group,Economic,Plant Layoff
2015,6/1/2015,Eastman Kodak Company (Kodak  Office),Spring Water Distributor,Economic,Plant Closing
2015,5/14/2015,Eastman Kodak Company (Kodak  Office),Family Services,Economic,Plant Layoff
2015,5/28/2015,Eastman Kodak Company (Kodak  Office),Childcare center,Economic,Plant Closing
2015,5/22/2015,Eastman Kodak Company (Kodak  Office),Crew and Maintenance facilities,Other,Plant Layoff
2015,5/28/2015,Eastman Kodak Company (Kodak  Office),"Global network of manufacturing, import, export,  trading and distribution companies",Relocation,Plant Closing
2015,5/28/2015,Eastman Kodak Company (Kodak  Office),Developing and Manufacturing - Clean Energy Systems,Economic,Plant Layoff
2015,5/26/2015,Eastman Kodak Company (Kodak  Office),Financial investment advice services,Economic,Plant Closing
2015,5/26/2015,Eastman Kodak Company (Kodak  Office),Milk and milk byproducts  s and distribution,Relocation,Plant Closing
2015,3/25/2013,Eastman Kodak Company (Kodak  Office),Medical Center,Economic,Plant Closing
2015,5/20/2015,Eastman Kodak Company (Kodak  Office),Photographic equipment and supplies,Economic,Plant Layoff
2015,5/20/2015,Eastman Kodak Company (Kodak  Office),Pharmaceuticals,Economic,Plant Closing
2015,3/5/2015,Eastman Kodak Company (Kodak  Office),Private Collection Agency,Contract Loss/End,Plant Layoff
2015,5/18/2015,Eastman Kodak Company (Kodak  Office),Forgings and Galvanizing,Economic,Plant Closing
2015,1/27/2015,Eastman Kodak Company (Kodak  Office),Hospital,Economic,Plant Layoff
2015,5/14/2015,Eastman Kodak Company (Kodak  Office),Family Services,Economic,Plant Layoff
2015,5/7/2015,Eastman Kodak Company (Kodak  Office),Baggage Handling,Contract Loss/End,Plant Unit Closing
2015,5/12/2015,Eastman Kodak Company (Kodak  Office),Photographic equipment and supplies,Economic,Plant Layoff
2015,5/12/2015,Eastman Kodak Company (Kodak  Office),Bank - Back office,Merger,Plant Layoff
2015,3/31/2015,Eastman Kodak Company (Kodak  Office),Bible society,Relocation,Plant Closing
2015,5/7/2015,Eastman Kodak Company (Kodak  Office),Railroad,Acquisition/Sale,Plant Closing
2015,5/8/2015,Eastman Kodak Company (Kodak  Office),Whole   Automobile Parts and Supplies Warehouse,Economic,Plant Closing
2015,4/30/2015,Eastman Kodak Company (Kodak  Office),Electronic Contractors,Relocation,Plant Layoff
2015,12/9/2014,Eastman Kodak Company (Kodak  Office),Electronics warehouse,Operations,Plant Unit Closing
2015,5/8/2015,Eastman Kodak Company (Kodak  Office),Laundry Service,Economic,Plant Layoff
2015,5/7/2015,Eastman Kodak Company (Kodak  Office),Food Services,Contract Loss/End,Plant Closing
2015,2/2/2015,Eastman Kodak Company (Kodak  Office),Transportation,Economic,Plant Layoff
2015,12/8/2014,Eastman Kodak Company (Kodak  Office),Mental Health Clinic,Operations,Plant Closing
2015,4/30/2015,Eastman Kodak Company (Kodak  Office),Photographic equipment and supplies,Economic,Plant Layoff
2015,4/1/2015,Eastman Kodak Company (Kodak  Office),Financial,Economic,Plant Unit Closing
2015,5/1/2015,Eastman Kodak Company (Kodak  Office),Vitamins and Food Supplements,Transfer,Plant Closing
2015,1/12/2015,Eastman Kodak Company (Kodak  Office),Parbake facility for baked goods,Economic,Plant Closing
2015,5/4/2015,Eastman Kodak Company (Kodak  Office),Air Traffic Control Optimum Training Solution,Contract Loss/End,Plant Closing
2015,2/6/2015,Eastman Kodak Company (Kodak  Office),Home Support Services,Acquisition/Sale,Plant Closing
2015,5/5/2015,Eastman Kodak Company (Kodak  Office),Food Distributor,Operations,Plant Layoff
2015,3/5/2015,Eastman Kodak Company (Kodak  Office),Private Collection Agency,Contract Loss/End,Plant Layoff
2015,5/5/2015,Eastman Kodak Company (Kodak  Office),Leasing company,Relocation,Plant Closing
2015,2/27/2015,Eastman Kodak Company (Kodak  Office),Financial,Economic,Plant Closing
2015,5/1/2015,Eastman Kodak Company (Kodak  Office),Operations and Maintenance,Economic,Plant Closing
2015,10/31/2014,Eastman Kodak Company (Kodak  Office),Beverage Distributor,Merger,Plant Closing
2015,5/1/2015,Eastman Kodak Company (Kodak  Office),Headstart Program,Transfer,Plant Closing
2015,5/1/2015,Eastman Kodak Company (Kodak  Office),Developmental Disabilities Program,Other,Plant Closing
2015,4/30/2015,Eastman Kodak Company (Kodak  Office),Electronic Contractors,Relocation,Plant Layoff
2015,4/21/2015,Eastman Kodak Company (Kodak  Office),Visiting Nurse Service,Economic,Plant Layoff
2015,4/30/2015,Eastman Kodak Company (Kodak  Office),Steel Bar Manufacturer,Economic,Plant Closing
2015,4/30/2015,Eastman Kodak Company (Kodak  Office),Corporate Trucking & Cross Dock Operations,Operations,Plant Unit Closing
2015,4/30/2015,Eastman Kodak Company (Kodak  Office),Magazine & Journal Publishing and Marketing,Economic,Plant Layoff
2015,4/30/2015,Eastman Kodak Company (Kodak  Office),Apparel,Economic,Plant Closing
2015,4/29/2015,Eastman Kodak Company (Kodak  Office),Importers & Manufacturers of Specialty Foods,Relocation,Plant Closing
2015,4/27/2015,Eastman Kodak Company (Kodak  Office),Instrument Manufacturing Operations,Operations,Plant Unit Closing
2015,4/30/2015,Eastman Kodak Company (Kodak  Office),Corporate Trucking & Cross Dock Operations,Economic,Plant Layoff
2015,4/23/2015,Eastman Kodak Company (Kodak  Office),Transportation,Contract Loss/End,Plant Closing
2015,4/24/2015,Eastman Kodak Company (Kodak  Office),Middle School,Economic,Plant Closing
2015,2/27/2015,Eastman Kodak Company (Kodak  Office),Hotel,Acquisition/Sale,Plant Closing
2015,2/27/2015,Eastman Kodak Company (Kodak  Office),Hotel,Acquisition/Sale,Plant Closing
2015,4/24/2015,Eastman Kodak Company (Kodak  Office),"Publisher of digital books, hard cover books,  journals, educations",Economic,Plant Layoff
2015,4/20/2015,Eastman Kodak Company (Kodak  Office),Plating on Plastics,Economic,Plant Closing
